keys,es,en,pt
UI_MAINMENU_TITLE,METROIDVANIA,METROIDVANIA,METROIDVANIA
UI_MAINMENU_CONTINUE,Continuar,Continue,Continuar
UI_MAINMENU_NEW_GAME,Nueva Partida,New Game,Novo Jogo
UI_MAINMENU_CHOOSE_SLOT,Elegí una partida vacía,Choose an empty slot,Escolha um slot vazio
UI_MAINMENU_BACK,Volver,Back,Voltar
UI_MAINMENU_NAME_LABEL,Nombre del personaje:,Character name:,Nome do personagem:
UI_MAINMENU_NAME_PLACEHOLDER,Ej: Aria,E.g.: Aria,Ex: Aria
UI_MAINMENU_START,Comenzar,Start,Começar
UI_MAINMENU_CANCEL,Cancelar,Cancel,Cancelar
UI_MAINMENU_SLOT_BUSY,{0} (ocupado),{0} (in use),{0} (ocupado)
UI_MAINMENU_SLOT_EMPTY,Vacío — crear nueva,Empty — create new,Vazio — criar novo
UI_MAINMENU_DELETE,Borrar,Delete,Apagar
UI_DEFAULT_HERO_NAME,Héroe,Hero,Herói
UI_DEATHSCREEN_TEXT,HAS MUERTO,YOU DIED,VOCÊ MORREU
UI_CONFIRM_DEFAULT_QUESTION,"¿Desea continuar?","Do you want to continue?","Deseja continuar?"
UI_CONFIRM_YES,Sí,Yes,Sim
UI_CONFIRM_NO,No,No,Não
UI_DIALOGUE_CONTINUE,[E] continuar,[E] continue,[E] continuar
UI_DIALOGUE_CLOSE,[E] cerrar,[E] close,[E] fechar
UI_DIALOGUE_DEFAULT_NAME,NPC,NPC,NPC
UI_DIALOGUE_DEFAULT_TEXT,...,...,...
UI_QUESTLOG_TITLE,Misiones,Quests,Missões
UI_QUESTLOG_ACTIVE,En curso,In progress,Em andamento
UI_QUESTLOG_COMPLETED_TITLE,Completadas,Completed,Concluídas
UI_QUESTLOG_CLOSE_HINT,[L] cerrar,[L] close,[L] fechar
UI_QUESTLOG_MAIN_PREFIX,[Principal] ,[Main] ,[Principal]
UI_QUESTLOG_SIDE_PREFIX,[Secundaria] ,[Side] ,[Secundária]
UI_QUESTLOG_PROGRESS," ({0}/{1})"," ({0}/{1})"," ({0}/{1})"
UI_QUESTLOG_COMPLETED_ENTRY,✓ {0},✓ {0},✓ {0}
UI_INVENTORY_TITLE,Inventario,Inventory,Inventário
UI_INVENTORY_EQUIPPED,Anillos equipados: {0}/{1},Equipped rings: {0}/{1},Anéis equipados: {0}/{1}
UI_INVENTORY_CLOSE_HINT,[I] cerrar,[I] close,[I] fechar
UI_INVENTORY_TAG_ABILITY,[Habilidad],[Ability],[Habilidade]
UI_INVENTORY_TAG_RING,[Anillo],[Ring],[Anel]
UI_INVENTORY_TAG_QUEST,[Misión],[Quest],[Missão]
UI_INVENTORY_TAG_LORE,[Lore],[Lore],[Lore]
UI_INVENTORY_UNEQUIP,Quitar,Unequip,Remover
UI_INVENTORY_EQUIP,Equipar,Equip,Equipar
UI_PAUSE_TITLE,PAUSA,PAUSED,PAUSA
UI_PAUSE_RESUME,Continuar,Resume,Continuar
UI_PAUSE_MAIN_MENU,Menú Principal,Main Menu,Menu Principal
UI_PAUSE_LANGUAGE_LABEL,Idioma,Language,Idioma
UI_PAUSE_CONTROLS,Controles,Controls,Controles
UI_CONTROLS_TITLE,Controles,Controls,Controles
UI_CONTROLS_RESET,Restablecer,Reset,Restaurar
UI_CONTROLS_BACK,Volver,Back,Voltar
UI_CONTROLS_PRESS_KEY,Presioná una tecla...,Press a key...,Pressione uma tecla...
UI_ACTION_MOVE_LEFT,Mover Izquierda,Move Left,Mover Esquerda
UI_ACTION_MOVE_RIGHT,Mover Derecha,Move Right,Mover Direita
UI_ACTION_JUMP,Saltar,Jump,Pular
UI_ACTION_ATTACK,Atacar,Attack,Atacar
UI_ACTION_DASH,Dash,Dash,Dash
UI_ACTION_SPRINT,Correr,Sprint,Correr
UI_ACTION_INTERACT,Interactuar,Interact,Interagir
UI_ACTION_QUEST_LOG,Diario de Misiones,Quest Log,Diário de Missões
UI_ACTION_INVENTORY,Inventario,Inventory,Inventário
UI_ACTION_HEAL,Curarse,Heal,Curar-se
UI_ACTION_COMPANION_STANCE,Modo Compañero,Companion Stance,Modo Companheiro
UI_COMPANION_AGGRESSIVE,Compañero: Agresivo,Companion: Aggressive,Companheiro: Agressivo
UI_COMPANION_PASSIVE,Compañero: Pasivo,Companion: Passive,Companheiro: Passivo
UI_PAUSE_DISPLAY,Pantalla,Display,Tela
UI_DISPLAY_TITLE,Pantalla,Display,Tela
UI_DISPLAY_FULLSCREEN_ON,Pantalla Completa: Sí,Fullscreen: On,Tela Cheia: Sim
UI_DISPLAY_FULLSCREEN_OFF,Pantalla Completa: No,Fullscreen: Off,Tela Cheia: Não
UI_RESTSCREEN_TEXT,Descansando,Resting,Descansando
UI_INTERACT_PROMPT,E,E,E
UI_HUD_HEAL_CHARGES,Curas: {0}/{1},Heals: {0}/{1},Curas: {0}/{1}
SAVEPOINT_LIGHT_CONFIRM,"¿Desea encenderla?","Do you want to light it?","Deseja acendê-la?"
SAVEPOINT_REST_CONFIRM,"¿Desea descansar?","Do you want to rest?","Deseja descansar?"
NPC_DEFAULT_NAME,NPC,NPC,NPC
NPC_DEFAULT_LINE,...,...,...
NPC_DEFAULT_IN_PROGRESS,Todavía no terminé eso.,I still haven't finished that.,Ainda não terminei isso.
NPC_DEFAULT_COMPLETED,Gracias por tu ayuda.,Thanks for your help.,Obrigado pela sua ajuda.
DIALOGUETRIGGER_DEFAULT_SPEAKER,???,???,???
NPC_DOORVOICE_SPEAKER,Voz desde adentro,Voice from inside,Voz lá de dentro
NPC_DOORVOICE_L1,"No me molestes, mañana es día de embarque.","Don't bother me, tomorrow is departure day.","Não me incomode, amanhã é dia de embarque."
NPC_PESCADOR_NAME,Viejo Pescador,Old Fisherman,Velho Pescador
